A1_187ef4436122d1cc2f40dc2b92f0eba0,ab,介词,Ab morgen muss ich arbeiten.,1.from / off,从明天开始我必须工作。,
A1_9591a1a24184bd3aa191f6d590d9c3a9,aber,连词,"Ich bin oft im Büro, aber nur für wenige Stunden.",1.但是,我经常在办公室，但只呆几个小时。,
A1_9f356e20751bf6d957e6cba2ffcda38c,abfahren,动词,Wir fahren um zwölf Uhr ab.,1.depart / remove / leave,我们十二点出发。,"<font color='#FF6600'>sein</font> abgefahren"
A1_340928ff804f116ae81e11d919919b73,Abfahrt,名词,Vor der Abfahrt rufe ich an.,1.start / departure<br>2.slope,走之前我会打电话。,<font color='#FF99CC'> die Abfahrt</font><br>Abfahrten
A1_2f42a1cb338ba559a4d6d485180e9f7f,abgeben,动词,Ich muss meine Schlüssel abgeben.,1.hand in / drop off / concede / deliver / hand over,我必须交出我的钥匙。,"abgegeben"
A1_83b6f80db47577b6e47291fa0158d21e,abholen,动词,Wann kann ich den Schrank bei dir abholen?,1.collect / pick up<br>2.pick up,我什么时候可以去你那里取柜子？,"abgeholt"
A1_276b156175a0ef102a37f320c4c13ad1,Absender,名词,Da ist ein Brief für dich ohne Absender.,1.sender<br>2.sender,有一封给您的信，没有回信地址。,<font color='#3399FF'> der Absender</font><br>Absender
A1_be0d3bb5a0f52755701fafef5c2391e0,Achtung,名词,Achtung! Das dürfen Sie nicht tun.,1.esteem / respect<br>2.caution / watch out / attention / look out / careful / danger,危险！你不能那样做。,<font color='#FF99CC'> die Achtung</font><br>—
A1_50d46c2f993f4c6ab66c095555dcc401,Adresse,名词,Können Sie mir seine Adresse sagen?,1.地址<br>2.address,你能告诉我他的地址吗？,<font color='#FF99CC'> die Adresse</font><br>Adressen
A1_5db310bc9abe88c0f836cd8145581be2,all-,粘着语素,Alles Gute!,全部-,一切顺利！,
A1_40e94d1167f57332fae5cae48f495378,allein,形容词,Er kommt allein.,1.alone,他一个人来。,
A1_07ccfe360dce69b84595428e2ec1c1cc,also,副词,"Also, es ist so: ...",1.所以,所以，就像这样：...,
A1_34823136d0dd91d0f5d22db740f7679c,alt,形容词,Wie alt sind Sie?,1.老<br>2.old,你今年多大？,
A1_b85145adbca4dc969d89cf96e9546a8b,Alter,名词,Alter: 26 Jahre.,1.age / Aldous / man / old man,年龄：26岁。,<font color='#3399FF'> der Alter</font><br><font color='#FFFF33'> das Alter</font><br>Alter
A1_18b049cc8d8535787929df716f9f4e68,an,介词,Fahren Sie an der nächsten Straße nach rechts.,1.to / on / moment / year,在下一条街右转。,
A1_893994ede78fa72969d830ee008b7d27,anbieten,动词,Was darf ich dir anbieten?,1.offer<br>2.propose / offer,我能为您提供什么？,"angeboten"
A1_b6c2853ec317047c34427ca9e144d6a8,Angebot,名词,Heute sind Sportschuhe im Angebot.,1.offering / offer,今天运动鞋打折。,<font color='#FFFF33'> das Angebot</font><br>Angebote
A1_d85895eda182d70dde4e1133cbd05c24,ander-,-,WiIlst du diese Jacke?,在-,你想要这件夹克吗？,
A1_5be992661a05950593efe28e622d6506,anfangen,动词,Hier fängt die Bahnhofstraße an.,1.begin / start<br>2.begin / start,班霍夫大街从这里开始。,"angefangen"
A1_03bcc068f75121ccc56e595ea937b9e4,Anfang,名词,Sie wohnt am Anfang der Straße.,1.inception / initiation / incipience / beginning / onset / start / commencement / initial / opening / outset / origin,她住在街的尽头。,<font color='#3399FF'> der Anfang</font><br>Anfänge
A1_45f260b596af15240e60c3548fb6f505,anklicken,动词,Da musst du dieses Wort anklicken.,1.on / click,你必须点击这个词。,"angeklickt"
A1_99dea2129039d923b0f07d8e78542f28,ankommen,动词,Wann kommt dieser Zug in Hamburg an?,1.arrive<br>2.climatize,这趟火车什么时候到达汉堡？,"<font color='#FF6600'>sein</font> angekommen"
A1_0f403e733c57a7e4a506c722e225e02d,Ankunft,名词,Auf diesem Plan steht nur die Ankunft(-szeit) der Züge.,1.arrival,该计划仅显示火车的到达（时间）。,<font color='#FF99CC'> die Ankunft</font><br>Ankünfte
A1_51c633c7e132427a77837a2d130d8c61,ankreuzen,动词,Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen.,1.check / tick<br>2.beat,您必须在表格上的多个位置勾选某些内容。,"angekreuzt"
A1_6fb6e3977571be637fd527e9dfe0bc65,anmachen,动词,Mach bitte das Licht an!,1.dress<br>2.light,请把灯打开！,"angemacht"
A1_53bf7b22add6005d8f1c3f335cd16d6a,anmelden,动词,Wo kann ich mich anmelden?,1.announce<br>2.enroll / register,我在哪里签字？,"angemeldet"
A1_05d316097eb9d1289765b00d23b6aba8,Anmeldung,名词,Eine Anmeldung für diesen Kurs ist nicht mehr möglich.,1.registration,不再可以注册该课程。,<font color='#FF99CC'> die Anmeldung</font><br>Anmeldungen
A1_1750f1eb0fdcdc5e98a38263803e0c2c,Anrede,名词,Schreiben Sie auch eine Anrede und einen Gruß.,1.form of address / salutation / title / salutatory address / address,还要写上问候语和问候语。,<font color='#FF99CC'> die Anrede</font><br>Anreden
A1_c1b00240104167abcc2dd7ca756b325a,anrufen,动词,Kann man Sie anrufen?,1.call / challenge<br>2.call / on / appeal / invoke,可以叫你吗？,"angerufen"
A1_65cb105f8d4c5a71465cd485587dead6,Anruf,名词,Sie bekommt viele Anrufe auf ihrem Handy.,1.call / phone call,她的手机接到很多电话。,<font color='#3399FF'> der Anruf</font><br>Anrufe
A1_c66069912645a3f85f86bef9b3fd2ef3,Anruf-,-,Wir sind im Moment nicht da. Sprechen Sie bitte auf den Anrufbeantworter.,称呼-,我们现在不在。请对答录机讲话。,
A1_d565df92ce83dec9f153230a088ec13b,Ansage,名词,Hören Sie die Ansagen.,1.announcement,听听公告。,<font color='#FF99CC'> die Ansage</font><br>Ansagen
A1_360a29b179c18f066a0d2fe96cd0cdb1,Anschluss,名词,In Mannheim haben Sie Anschluss nach Saarbrücken.,1.connection / connexion<br>2.connection,在曼海姆，您可以前往萨尔布吕肯。,<font color='#3399FF'> der Anschluss</font><br>Anschlüsse—
A1_14b83f1acf166d54f095cb27fe89490e,an sein,动词,Heute Nacht war das Licht an.,1.switch on / burn / be on,今晚，灯亮了。,"<font color='#FF6600'>sein</font> an gewesen"
A1_8fc6de50e312f5a325abe3bd06484e99,antworten,动词,Er antwortet nicht.,1.answer,他没有回答。,"geantwortet"
